"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"/opt/lampp/htdocs/Hungry1/abdriver.php", "PHP", 166, 0, 0, 0, 13, 32, 211
"/opt/lampp/htdocs/Hungry1/cart.php", "PHP", 127, 0, 0, 0, 11, 13, 151
"/opt/lampp/htdocs/Hungry1/db_connect.php", "PHP", 7, 0, 0, 0, 1, 2, 10
"/opt/lampp/htdocs/Hungry1/detail.php", "PHP", 166, 0, 0, 0, 13, 32, 211
"/opt/lampp/htdocs/Hungry1/di.php", "PHP", 57, 0, 0, 0, 0, 10, 67
"/opt/lampp/htdocs/Hungry1/footer.php", "PHP", 52, 0, 0, 0, 0, 3, 55
"/opt/lampp/htdocs/Hungry1/homepage.php", "PHP", 382, 0, 0, 0, 12, 19, 413
"/opt/lampp/htdocs/Hungry1/insert1.php", "PHP", 99, 0, 0, 0, 2, 10, 111
"/opt/lampp/htdocs/Hungry1/js/datepicker-detail.111bc2ff.js", "JavaScript", 0, 0, 0, 32, 2, 1, 35
"/opt/lampp/htdocs/Hungry1/js/demo.36f8799a.js", "JavaScript", 0, 0, 0, 17, 3, 9, 29
"/opt/lampp/htdocs/Hungry1/js/map-detail.ecc97be1.js", "JavaScript", 0, 0, 0, 60, 0, 10, 70
"/opt/lampp/htdocs/Hungry1/js/map-layers.f6cf9b57.js", "JavaScript", 0, 0, 0, 8, 0, 2, 10
"/opt/lampp/htdocs/Hungry1/js/theme.55f8348b.js", "JavaScript", 0, 0, 0, 312, 51, 60, 423
"/opt/lampp/htdocs/Hungry1/login.html", "HTML", 0, 0, 42, 0, 2, 8, 52
"/opt/lampp/htdocs/Hungry1/logout.php", "PHP", 6, 0, 0, 0, 0, 0, 6
"/opt/lampp/htdocs/Hungry1/logsess.php", "PHP", 53, 0, 0, 0, 1, 6, 60
"/opt/lampp/htdocs/Hungry1/navbar.php", "PHP", 182, 0, 0, 0, 0, 2, 184
"/opt/lampp/htdocs/Hungry1/order.php", "PHP", 229, 0, 0, 0, 14, 21, 264
"/opt/lampp/htdocs/Hungry1/required.php", "PHP", 11, 0, 0, 0, 0, 0, 11
"/opt/lampp/htdocs/Hungry1/signin.css", "CSS", 0, 42, 0, 0, 0, 3, 45
"/opt/lampp/htdocs/Hungry1/signup.php", "PHP", 50, 0, 0, 0, 0, 6, 56
"/opt/lampp/htdocs/Hungry1/user-cart.php", "PHP", 184, 0, 0, 0, 14, 14, 212
"/opt/lampp/htdocs/Hungry1/view.php", "PHP", 210, 0, 0, 0, 11, 23, 244
"/opt/lampp/htdocs/Hungry1/view1.php", "PHP", 241, 0, 0, 0, 9, 3, 253
"Total", "-", 2222, 42, 42, 429, 159, 289, 3183
